# format=sail-log v1
# logger=synth-log.mjs (synthetic)
# boat=IOM GBR 123 (synthetic)
# class=IOM
# rate_hz=10
# declination_deg=0.3
# imu_mount=x_fwd_y_stbd_z_down
# rudder_center_us=1500
# rudder_deg_per_us=0.09
# sheet_in_us=1100
# sheet_out_us=1900
# tws_source=none
# imu_fusion=rotation_vector
# gnss_rate_hz=5
t_ms,utc_ms,gnss_new,lat,lon,sog,cog,sacc,hacc,fix,sats,yaw,roll,pitch,gx,gy,gz,ax,ay,az,rudder_us,sheet_us,aux1_us,aux2_us,vbat,event,tws,twd
120770,,0,,,,,,,0,0,214.0,-2.3,0.2,-6.86,1.11,0.75,0.18,0.25,-9.86,1506,1278,,,5.04,0,,
120870,,0,,,,,,,0,0,214.0,-2.7,-0.1,-1.44,-0.96,1.71,-0.14,0.34,-10.26,1506,1288,,,5.05,0,,
120970,,0,,,,,,,0,0,214.6,-3.0,-0.1,-0.91,0.76,1.38,-0.34,0.61,-9.62,1509,1307,,,5.05,0,,
121070,,0,,,,,,,0,0,214.8,-2.7,-0.1,0.68,-0.34,0.68,0.19,0.35,-9.62,1508,1317,,,5.06,0,,
121170,,0,,,,,,,0,0,214.4,-3.2,-0.2,-2.20,-0.31,1.45,-0.06,0.31,-9.68,1510,1328,,,5.04,0,,
121270,,0,,,,,,,0,0,213.8,-4.0,-0.4,-3.07,-0.68,0.50,-0.09,0.68,-9.88,1504,1336,,,5.05,0,,
121370,,0,,,,,,,0,0,215.2,-4.3,-0.6,-1.61,-0.51,1.61,-0.17,0.40,-10.06,1505,1352,,,5.05,0,,
121470,,0,,,,,,,0,0,214.5,-5.0,-0.8,-2.12,-0.90,1.10,0.10,0.63,-10.30,1507,1360,,,5.05,0,,
121570,,0,,,,,,,0,0,214.6,-5.4,-1.1,-1.02,-1.37,0.47,-0.14,0.99,-9.64,1506,1364,,,5.06,0,,
121670,,0,,,,,,,0,0,214.7,-5.1,-1.5,0.69,-1.07,0.56,-0.33,0.90,-9.64,1502,1374,,,5.05,0,,
121770,,0,,,,,,,0,0,214.5,-5.5,-1.5,-1.22,0.05,0.83,0.15,0.71,-9.63,1507,1383,,,5.06,0,,
121870,,0,,,,,,,0,0,214.5,-5.1,-1.7,0.81,-0.25,0.19,-0.29,0.65,-9.69,1501,1393,,,5.05,0,,
121970,,0,,,,,,,0,0,215.2,-5.6,-1.8,-2.02,-0.57,0.86,-0.37,1.12,-9.52,1497,1392,,,5.04,0,,
122070,,0,,,,,,,0,0,215.1,-5.1,-1.8,1.75,-0.09,1.24,-0.02,0.83,-9.53,1497,1400,,,5.04,0,,
122170,,0,,,,,,,0,0,214.5,-5.4,-1.8,-0.71,-0.31,0.59,-0.26,1.06,-9.96,1501,1408,,,5.06,0,,
122270,,0,,,,,,,0,0,215.2,-5.8,-1.5,-1.07,0.92,0.64,-0.18,1.19,-9.99,1493,1410,,,5.03,0,,
122370,,0,,,,,,,0,0,214.6,-4.8,-1.4,2.97,0.27,0.93,-0.09,0.78,-9.82,1492,1413,,,5.07,0,,
122470,,0,,,,,,,0,0,215.0,-3.5,-1.1,4.49,1.30,0.06,-0.32,0.37,-9.64,1493,1414,,,5.04,0,,
122570,,0,,,,,,,0,0,214.8,-2.7,-0.9,2.10,0.61,0.13,0.12,0.35,-9.90,1495,1419,,,5.06,0,,
122670,,0,,,,,,,0,0,214.3,-2.6,-0.9,-0.14,0.51,0.29,-0.27,0.16,-9.66,1491,1422,,,5.07,0,,
122770,,0,,,,,,,0,0,215.4,-1.1,-0.9,4.67,-0.09,0.42,-0.30,0.29,-9.95,1487,1425,,,5.06,0,,
122870,,0,,,,,,,0,0,215.1,-1.1,-1.0,0.28,0.23,0.45,-0.33,0.33,-9.93,1485,1428,,,5.06,0,,
122970,,0,,,,,,,0,0,215.4,-1.4,-1.2,-1.14,-0.66,0.57,-0.41,0.58,-9.61,1487,1431,,,5.05,0,,
123070,,0,,,,,,,0,0,215.8,-1.1,-1.3,0.82,-0.55,0.41,-0.36,0.17,-10.10,1488,1432,,,5.05,0,,
123170,,0,,,,,,,0,0,215.1,-1.1,-1.5,0.36,-0.55,0.39,-0.43,0.21,-9.66,1490,1440,,,5.05,0,,
123270,,0,,,,,,,0,0,215.2,-0.1,-1.6,3.47,-0.14,1.17,-0.13,0.07,-9.65,1500,1439,,,5.06,0,,
123370,,0,,,,,,,0,0,215.2,-0.5,-1.6,-0.63,0.26,0.42,-0.37,0.26,-9.67,1501,1435,,,5.06,0,,
123470,,0,,,,,,,0,0,215.0,-0.5,-1.8,-0.94,-0.78,0.51,-0.29,0.34,-9.60,1504,1439,,,5.05,0,,
123570,,0,,,,,,,0,0,214.9,-0.7,-1.6,-0.80,-0.06,-0.09,-0.16,0.06,-9.92,1500,1441,,,5.05,0,,
123670,,0,,,,,,,0,0,215.4,-1.3,-1.5,-2.27,0.33,0.11,-0.31,0.23,-10.01,1498,1444,,,5.06,0,,
123770,,0,,,,,,,0,1,214.6,-1.9,-1.6,-1.75,0.17,0.36,-0.39,0.23,-9.46,1500,1445,,,5.05,0,,
123870,,0,,,,,,,0,1,215.2,-1.6,-1.5,1.32,0.66,0.23,-0.37,0.12,-10.15,1496,1446,,,5.04,0,,
123970,,0,,,,,,,0,1,214.4,-2.0,-1.2,-1.30,0.79,1.44,-0.25,0.31,-9.65,1504,1449,,,5.04,0,,
124070,,0,,,,,,,0,1,215.4,-2.7,-1.0,-2.12,0.55,1.57,0.03,0.63,-9.91,1509,1448,,,5.04,0,,
124170,,0,,,,,,,0,1,215.9,-3.4,-1.0,-2.52,0.28,1.54,-0.23,0.72,-9.71,1518,1451,,,5.04,0,,
124270,,0,,,,,,,0,1,216.2,-4.6,-0.9,-3.23,0.43,1.29,-0.24,0.81,-10.33,1525,1450,,,5.05,0,,
124370,,0,,,,,,,0,1,215.5,-4.2,-1.2,0.74,-1.47,1.65,-0.23,0.80,-9.61,1518,1453,,,5.06,0,,
124470,,0,,,,,,,0,1,215.9,-4.9,-1.5,-2.07,-0.87,1.97,-0.51,0.99,-9.81,1520,1454,,,5.06,0,,
124570,,0,,,,,,,0,1,215.9,-4.9,-1.8,-0.40,-0.79,1.91,-0.36,0.78,-10.03,1519,1454,,,5.05,0,,
124670,,0,,,,,,,0,1,216.1,-5.1,-1.8,-0.87,0.53,2.50,-0.46,0.75,-9.76,1523,1453,,,5.04,0,,
124770,,0,,,,,,,0,1,216.1,-5.1,-2.1,0.34,-0.72,2.18,-0.30,0.92,-9.56,1525,1458,,,5.07,0,,
124870,,0,,,,,,,0,1,217.0,-5.1,-2.1,-0.25,-0.15,1.28,-0.69,0.92,-10.18,1528,1456,,,5.05,0,,
