# format=sail-log v1
# logger=synth-log.mjs (synthetic)
# boat=Moth GBR 4242 (synthetic)
# class=Moth
# rate_hz=10
# declination_deg=-1.2
# imu_mount=x_fwd_y_stbd_z_down
# rudder_center_us=1510
# rudder_deg_per_us=0.1
# sheet_in_us=1000
# sheet_out_us=2000
# tws_source=none
# imu_fusion=rotation_vector
# gnss_rate_hz=5
t_ms,utc_ms,gnss_new,lat,lon,sog,cog,sacc,hacc,fix,sats,yaw,roll,pitch,gx,gy,gz,ax,ay,az,rudder_us,sheet_us,aux1_us,aux2_us,vbat,event,tws,twd
124580,,0,,,,,,,0,0,134.3,-0.3,0.0,-0.63,0.22,2.22,1.09,0.45,-9.76,1497,1210,,,4.06,0,,
124680,,0,,,,,,,0,0,135.1,-0.5,0.1,0.15,0.54,1.71,1.69,0.60,-8.89,1493,1216,,,4.06,0,,
124780,,0,,,,,,,0,0,135.1,0.0,0.4,1.55,0.74,0.75,1.51,-0.54,-9.46,1496,1221,,,4.06,0,,
124880,,0,,,,,,,0,0,134.7,0.7,0.6,2.94,0.16,1.37,1.56,0.19,-9.38,1495,1232,,,4.05,0,,
124980,,0,,,,,,,0,0,135.0,1.6,0.8,2.12,0.59,1.08,1.84,-0.48,-10.04,1493,1234,,,4.07,0,,
125080,,0,,,,,,,0,0,135.1,1.6,0.7,0.58,-1.34,1.39,1.35,-0.27,-10.15,1496,1244,,,4.07,0,,
125180,,0,,,,,,,0,0,135.2,1.7,0.3,0.98,-0.82,1.32,0.44,0.44,-10.27,1500,1244,,,4.05,0,,
125280,,0,,,,,,,0,0,134.9,2.2,0.5,1.55,0.02,0.69,1.09,-0.75,-9.77,1503,1251,,,4.05,0,,
125380,,0,,,,,,,0,0,135.3,3.0,0.6,2.02,0.64,-0.13,0.82,-0.61,-9.40,1501,1253,,,4.05,0,,
125480,,0,,,,,,,0,0,135.2,3.6,0.8,1.83,0.43,0.86,0.89,-0.63,-10.18,1502,1258,,,4.05,0,,
125580,,0,,,,,,,0,0,135.2,3.5,1.0,0.01,0.20,0.75,0.93,-0.49,-9.95,1503,1261,,,4.04,0,,
125680,,0,,,,,,,0,0,134.6,3.7,1.0,1.12,-0.04,-0.12,0.68,-0.72,-9.80,1505,1263,,,4.06,0,,
125780,,0,,,,,,,0,0,135.3,4.4,0.8,1.94,-0.67,0.20,1.53,-0.34,-9.71,1502,1266,,,4.06,0,,
125880,,0,,,,,,,0,0,136.3,4.4,0.7,0.55,-0.36,0.13,1.06,-0.71,-9.54,1511,1268,,,4.03,0,,
125980,,0,,,,,,,0,0,135.5,4.3,0.7,-0.36,0.13,-0.12,1.25,-1.20,-9.76,1503,1270,,,4.03,0,,
126080,,0,,,,,,,0,0,135.4,4.5,0.6,0.97,-0.48,-0.46,1.15,-1.01,-10.06,1506,1277,,,4.04,0,,
126180,,0,,,,,,,0,0,135.3,4.7,0.8,1.13,-0.05,0.05,1.30,-0.60,-10.47,1504,1275,,,4.03,0,,
126280,,0,,,,,,,0,0,134.9,5.0,0.7,0.88,-0.27,-0.79,0.95,-1.64,-9.60,1503,1279,,,4.05,0,,
126380,,0,,,,,,,0,0,135.8,5.2,0.3,1.22,-1.08,0.35,0.59,-1.00,-9.96,1502,1279,,,4.07,0,,
126480,,0,,,,,,,0,0,135.3,5.5,0.4,1.13,0.26,-0.51,1.03,-0.84,-10.39,1508,1285,,,4.04,0,,
126580,,0,,,,,,,0,0,135.7,5.2,0.4,-1.07,-0.08,-0.25,0.99,-1.16,-9.72,1514,1282,,,4.06,0,,
126680,,0,,,,,,,0,0,135.3,5.8,0.6,1.88,0.21,0.51,1.18,-0.90,-9.66,1518,1284,,,4.03,0,,
126780,,0,,,,,,,0,0,135.2,5.6,0.6,-0.28,-0.21,0.86,-0.23,-0.67,-9.68,1523,1283,,,4.05,0,,
126880,,0,,,,,,,0,0,134.2,5.4,0.9,-0.54,1.04,0.06,0.88,-1.80,-9.67,1521,1287,,,4.03,0,,
126980,,0,,,,,,,0,0,135.3,5.5,1.0,0.60,0.05,0.64,0.89,-0.36,-9.88,1524,1287,,,4.06,0,,
127080,,0,,,,,,,0,0,136.0,5.7,1.0,1.00,-0.78,0.33,0.84,-1.21,-9.47,1521,1289,,,4.04,0,,
127180,,0,,,,,,,0,0,135.3,5.6,0.9,-0.05,-0.27,-0.15,0.78,-0.98,-9.50,1518,1289,,,4.04,0,,
